MAE,MAPE,MSE,RMSE,batch_size,dataset,epochs,experiment,lr,method,n_sequences,seed,seq_len,split_id,timestamp,torch_seed,torch_version,weight_decay
0.03994126313600889,0.011307683394296058,0.0026707215820120514,0.05043008626558745,30,NASA,2000,3,0.02,BattNN,70.0,2022,60,Dis_RW4.mat,2026-05-24T19:58:29,4025,2.12.0+cpu,0.0005
0.04066079518560544,0.011470432136290263,0.0027576558364362986,0.05120593161200508,30,NASA,2000,4,0.02,BattNN,70.0,2022,60,Dis_RW4.mat,2026-05-24T19:58:29,4026,2.12.0+cpu,0.0005
0.03984065775652213,0.011211393768371056,0.0025924657044185035,0.04976820035359077,30,NASA,2000,5,0.02,BattNN,70.0,2022,60,Dis_RW4.mat,2026-05-24T19:58:29,4027,2.12.0+cpu,0.0005
0.041249383464036816,0.011594259557409468,0.0028311297226212306,0.05187442839725449,30,NASA,2000,1,0.02,BattNN,70.0,2022,60,Dis_RW5.mat,2026-05-24T19:58:29,4023,2.12.0+cpu,0.0005
0.04052228212034677,0.011455520577836914,0.0028286128077775396,0.0518336936317253,30,NASA,2000,2,0.02,BattNN,70.0,2022,60,Dis_RW5.mat,2026-05-24T19:58:29,4024,2.12.0+cpu,0.0005
0.040595627604268276,0.011457707081719046,0.0029257975291344697,0.05222248363131413,30,NASA,2000,3,0.02,BattNN,70.0,2022,60,Dis_RW5.mat,2026-05-24T19:58:29,4025,2.12.0+cpu,0.0005
0.042974961855713055,0.01212092128380044,0.003161049445383805,0.05429668821320192,30,NASA,2000,4,0.02,BattNN,70.0,2022,60,Dis_RW5.mat,2026-05-24T19:58:29,4026,2.12.0+cpu,0.0005
0.03993829278865234,0.011258103911904328,0.0028507719600511464,0.05138602724264235,30,NASA,2000,5,0.02,BattNN,70.0,2022,60,Dis_RW5.mat,2026-05-24T19:58:29,4027,2.12.0+cpu,0.0005
0.0421426387978399,0.011909299062332521,0.003158276803400838,0.05548426525752259,30,NASA,2000,1,0.02,BattNN,70.0,2022,60,Dis_RW6.mat,2026-05-24T19:58:29,4023,2.12.0+cpu,0.0005
0.041544708650058396,0.011718786577202515,0.003076929266435044,0.05463906176551683,30,NASA,2000,2,0.02,BattNN,70.0,2022,60,Dis_RW6.mat,2026-05-24T19:58:29,4024,2.12.0+cpu,0.0005
0.0425308399546356,0.011975683724157915,0.003189754537411711,0.05523870531612143,30,NASA,2000,3,0.02,BattNN,70.0,2022,60,Dis_RW6.mat,2026-05-24T19:58:29,4025,2.12.0+cpu,0.0005
0.04154599169021552,0.011744596304961392,0.003053500057765743,0.05414507021859934,30,NASA,2000,4,0.02,BattNN,70.0,2022,60,Dis_RW6.mat,2026-05-24T19:58:29,4026,2.12.0+cpu,0.0005
0.04115470535535215,0.011604626137132772,0.0030026943295649935,0.05411334183352131,30,NASA,2000,5,0.02,BattNN,70.0,2022,60,Dis_RW6.mat,2026-05-24T19:58:29,4027,2.12.0+cpu,0.0005
