MAE,MAPE,MSE,RMSE,best_train_loss,config_Cs,config_Csp,config_Rp,config_Rs,config_V0,config_VEOD,config_epochs,config_lr,config_profile,config_weight_decay,config_x0_qb,data_seed,dataset,experiment,final_train_loss,held_out_battery,initial_train_loss,method,min_test_length,n_sequences,n_train,resample_minutes,selected_candidate_id,selected_validation_MAE_mean,selected_validation_MAE_std,stage,test_cycles,timestamp,torch_seed,train_epochs_run,train_length
0.10543067103015981,0.03072245126704272,0.020832716994844465,0.13322095916240634,0.22639140486717224,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,4,0.22639143466949463,RW_battery-5,8.828338623046875,BattNN tuned,20,274.0,30,0.5,1,0.13329475051647433,0.0,final,274,2026-05-24T23:34:14,2026,240,60
0.10540018350936899,0.030714615949223225,0.02083016937432311,0.13319704425192896,0.22639140486717224,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,5,0.22639186680316925,RW_battery-5,8.828338623046875,BattNN tuned,20,274.0,30,0.5,1,0.13329475051647433,0.0,final,274,2026-05-24T23:34:14,2027,201,60
0.10318600258378088,0.030007109582232867,0.019681505141087352,0.12937571298671144,0.21363161504268646,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,1,0.21363218128681183,RW_battery-6,8.923861503601074,BattNN tuned,20,219.0,30,0.5,1,0.13329475051647433,0.0,final,219,2026-05-24T23:34:14,2023,224,60
0.1031641470977148,0.030001422217741745,0.019679299941668477,0.1293571819512808,0.21363158524036407,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,2,0.21363243460655212,RW_battery-6,40.21485137939453,BattNN tuned,20,219.0,30,0.5,1,0.13329475051647433,0.0,final,219,2026-05-24T23:34:14,2024,222,60
0.10319025154527299,0.030008215293623262,0.01968193845907668,0.12937933087140602,0.21363158524036407,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,3,0.21363219618797302,RW_battery-6,7.566595077514648,BattNN tuned,20,219.0,30,0.5,1,0.13329475051647433,0.0,final,219,2026-05-24T23:34:14,2025,212,60
0.10317445339090706,0.0300041042023523,0.01968033509457698,0.1293659039073094,0.21363157033920288,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,4,0.21363164484500885,RW_battery-6,8.923861503601074,BattNN tuned,20,219.0,30,0.5,1,0.13329475051647433,0.0,final,219,2026-05-24T23:34:14,2026,273,60
0.10318263959942213,0.03000623441748604,0.019681162949849604,0.12937285152284375,0.21363158524036407,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,5,0.21363192796707153,RW_battery-6,8.923861503601074,BattNN tuned,20,219.0,30,0.5,1,0.13329475051647433,0.0,final,219,2026-05-24T23:34:14,2027,190,60
0.10178506622015492,0.029608479491723315,0.019439654997961856,0.12818260453128855,0.2565942406654358,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,1,0.25659480690956116,RW_battery-7,9.411495208740234,BattNN tuned,20,186.0,30,0.5,1,0.13329475051647433,0.0,final,186,2026-05-24T23:34:14,2023,204,60
0.10179733335767617,0.02961163890969096,0.019440293683564796,0.12819153766537036,0.2565942108631134,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,2,0.2565942406654358,RW_battery-7,40.708919525146484,BattNN tuned,20,186.0,30,0.5,1,0.13329475051647433,0.0,final,186,2026-05-24T23:34:14,2024,280,60
0.10179812402091792,0.02961184275469624,0.01944033557458062,0.12819211316490972,0.2565942108631134,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,3,0.2565942406654358,RW_battery-7,7.98162317276001,BattNN tuned,20,186.0,30,0.5,1,0.13329475051647433,0.0,final,186,2026-05-24T23:34:14,2025,276,60
0.10180249462301144,0.02961296898914675,0.019440565986295354,0.12819529593538662,0.2565942108631134,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,4,0.2565942406654358,RW_battery-7,9.411495208740234,BattNN tuned,20,186.0,30,0.5,1,0.13329475051647433,0.0,final,186,2026-05-24T23:34:14,2026,285,60
0.10179230922605075,0.02961034456407568,0.01944003186932382,0.12818788092542827,0.2565942704677582,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,5,0.25659453868865967,RW_battery-7,9.411495208740234,BattNN tuned,20,186.0,30,0.5,1,0.13329475051647433,0.0,final,186,2026-05-24T23:34:14,2027,187,60
0.10609525188784917,0.030893954806395674,0.020596266734382564,0.133026006061904,0.2332136482000351,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,1,0.23321421444416046,RW_battery-8,8.815845489501953,BattNN tuned,20,208.0,30,0.5,1,0.13329475051647433,0.0,final,208,2026-05-24T23:34:14,2023,224,60
0.1062041121728836,0.030922597310395192,0.020611082813336304,0.13312402318267158,0.2332136332988739,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,2,0.2332136631011963,RW_battery-8,40.106746673583984,BattNN tuned,20,208.0,30,0.5,1,0.13329475051647433,0.0,final,208,2026-05-24T23:34:14,2024,178,60
0.10609496983559265,0.030893880581687513,0.020596228763170337,0.1330257519867165,0.2332136183977127,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,3,0.23321381211280823,RW_battery-8,7.461178302764893,BattNN tuned,20,208.0,30,0.5,1,0.13329475051647433,0.0,final,208,2026-05-24T23:34:14,2025,224,60
0.10617255887626253,0.030914288072015447,0.0206067392328344,0.1330955558518314,0.2332136482000351,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,4,0.23321408033370972,RW_battery-8,8.815845489501953,BattNN tuned,20,208.0,30,0.5,1,0.13329475051647433,0.0,final,208,2026-05-24T23:34:14,2026,191,60
0.10608258790539207,0.03089062555998999,0.020594577893669714,0.13301466301622847,0.2332136482000351,800.0,40.0,6000.0,1.0,4.2,3.0,2000,0.02,lab,0.0005,8000.0,2022,XJTU-Batch-5,5,0.23321397602558136,RW_battery-8,8.815845489501953,BattNN tuned,20,208.0,30,0.5,1,0.13329475051647433,0.0,final,208,2026-05-24T23:34:14,2027,184,60
