MAE,MAPE,MSE,RMSE,baseline_MAE_mean,baseline_MAE_std,baseline_MAPE_mean,baseline_MAPE_std,baseline_MSE_mean,baseline_MSE_std,baseline_RMSE_mean,baseline_RMSE_std,baseline_runs,dataset,enhance_activation,epochs,final_loss,initial_loss,l2,learning_rate,map_activation,method,n_enhance,n_map,n_sequences,n_train,seed,smooth_l1_delta,split_id,timestamp,train_length
0.01740085824824688,0.005259482415901104,0.0016495701950209963,0.03801152158945768,0.043317302777054575,0.0015848233745711271,0.012465035409062051,0.0005063950074424994,0.003148826134848938,0.0003381446709156237,0.054318365753416274,0.0028926242555829327,5.0,Lab,sigmoid,20000,0.0005934433110833804,0.45151125116617724,0.001,0.01,tanh,SAGD-BLS,100,100,15.0,30,1,1.0,5,2026-05-24T19:53:00,60
0.018247370802749147,0.005526455122545162,0.0018339863142199202,0.04084651122505638,0.043317302777054575,0.0015848233745711271,0.012465035409062051,0.0005063950074424994,0.003148826134848938,0.0003381446709156237,0.054318365753416274,0.0028926242555829327,5.0,Lab,sigmoid,20000,0.000587957544793212,0.45151125116617724,0.001,0.01,tanh,SAGD-BLS,100,100,15.0,30,2,1.0,5,2026-05-24T19:53:00,60
0.01813638097710972,0.005476995797200101,0.001582225848667949,0.038462665367889844,0.043317302777054575,0.0015848233745711271,0.012465035409062051,0.0005063950074424994,0.003148826134848938,0.0003381446709156237,0.054318365753416274,0.0028926242555829327,5.0,Lab,sigmoid,20000,0.0005956621744369559,0.45151125116617724,0.001,0.01,tanh,SAGD-BLS,100,100,15.0,30,3,1.0,5,2026-05-24T19:53:00,60
0.01998720769334734,0.0060196910878787735,0.001633528660708524,0.03957032593349956,0.043317302777054575,0.0015848233745711271,0.012465035409062051,0.0005063950074424994,0.003148826134848938,0.0003381446709156237,0.054318365753416274,0.0028926242555829327,5.0,Lab,sigmoid,20000,0.0005863084127252429,0.45151125116617724,0.001,0.01,tanh,SAGD-BLS,100,100,15.0,30,4,1.0,5,2026-05-24T19:53:00,60
0.01970901316133043,0.005961987992403219,0.0017791393371816395,0.041644262722246354,0.043317302777054575,0.0015848233745711271,0.012465035409062051,0.0005063950074424994,0.003148826134848938,0.0003381446709156237,0.054318365753416274,0.0028926242555829327,5.0,Lab,sigmoid,20000,0.0005747669193810761,0.45151125116617724,0.001,0.01,tanh,SAGD-BLS,100,100,15.0,30,5,1.0,5,2026-05-24T19:53:00,60
0.019381420510376147,0.005748663958812664,0.0011407016267926029,0.032737672944644663,0.03730164942655902,0.0003554190335237296,0.010680224549570714,0.00012068780661485097,0.0023239857713511928,5.6964325122619486e-05,0.04655078807879084,0.0005915107071830681,5.0,Lab,sigmoid,20000,0.0006743784710183601,0.46749457320966603,0.001,0.01,tanh,SAGD-BLS,100,100,5.0,30,1,1.0,6,2026-05-24T19:53:00,60
0.02239144901825551,0.006684232598315069,0.0019364916732211104,0.04223953970252721,0.03730164942655902,0.0003554190335237296,0.010680224549570714,0.00012068780661485097,0.0023239857713511928,5.6964325122619486e-05,0.04655078807879084,0.0005915107071830681,5.0,Lab,sigmoid,20000,0.0006427425294883404,0.46749457320966603,0.001,0.01,tanh,SAGD-BLS,100,100,5.0,30,2,1.0,6,2026-05-24T19:53:00,60
0.023190677964868955,0.006942300825468403,0.0019362539123891982,0.04264738384565692,0.03730164942655902,0.0003554190335237296,0.010680224549570714,0.00012068780661485097,0.0023239857713511928,5.6964325122619486e-05,0.04655078807879084,0.0005915107071830681,5.0,Lab,sigmoid,20000,0.0006598230955767317,0.46749457320966603,0.001,0.01,tanh,SAGD-BLS,100,100,5.0,30,3,1.0,6,2026-05-24T19:53:00,60
0.02714335519189378,0.008163123105171099,0.002470630497244713,0.04870174276912802,0.03730164942655902,0.0003554190335237296,0.010680224549570714,0.00012068780661485097,0.0023239857713511928,5.6964325122619486e-05,0.04655078807879084,0.0005915107071830681,5.0,Lab,sigmoid,20000,0.0006556471865919764,0.46749457320966603,0.001,0.01,tanh,SAGD-BLS,100,100,5.0,30,4,1.0,6,2026-05-24T19:53:00,60
0.03371682072796733,0.01013326652959094,0.003471628245920463,0.058284397078352444,0.03730164942655902,0.0003554190335237296,0.010680224549570714,0.00012068780661485097,0.0023239857713511928,5.6964325122619486e-05,0.04655078807879084,0.0005915107071830681,5.0,Lab,sigmoid,20000,0.0010128235095167976,0.46749457320966603,0.001,0.01,tanh,SAGD-BLS,100,100,5.0,30,5,1.0,6,2026-05-24T19:53:00,60
0.025639997011374434,0.007332264325303017,0.0012391542413797052,0.03271910949040025,0.03622178448154167,0.0007534754118210007,0.010212931788815447,0.00019896402917004525,0.002315354442491786,6.0698620452738206e-05,0.04681384550239632,0.0005547534635372428,5.0,NASA,sigmoid,20000,0.0018218846857754132,0.48404041905345024,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,1,1.0,Dis_RW3.mat,2026-05-24T19:53:00,60
0.02627791659512834,0.007545099735904854,0.0017631045925270462,0.03895637708744106,0.03622178448154167,0.0007534754118210007,0.010212931788815447,0.00019896402917004525,0.002315354442491786,6.0698620452738206e-05,0.04681384550239632,0.0005547534635372428,5.0,NASA,sigmoid,20000,0.001833191610162148,0.48404041905345024,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,2,1.0,Dis_RW3.mat,2026-05-24T19:53:00,60
0.02730339086499836,0.007764987663978509,0.0013622004441270097,0.03424669275034777,0.03622178448154167,0.0007534754118210007,0.010212931788815447,0.00019896402917004525,0.002315354442491786,6.0698620452738206e-05,0.04681384550239632,0.0005547534635372428,5.0,NASA,sigmoid,20000,0.0018435199408908924,0.48404041905345024,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,3,1.0,Dis_RW3.mat,2026-05-24T19:53:00,60
0.03388639830404565,0.009820684231596401,0.0035123181994416008,0.05474620838734097,0.03622178448154167,0.0007534754118210007,0.010212931788815447,0.00019896402917004525,0.002315354442491786,6.0698620452738206e-05,0.04681384550239632,0.0005547534635372428,5.0,NASA,sigmoid,20000,0.0020782719961508107,0.48404041905345024,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,4,1.0,Dis_RW3.mat,2026-05-24T19:53:00,60
0.06150706155208754,0.01750972158420562,0.008393051181536493,0.08446383537063581,0.03622178448154167,0.0007534754118210007,0.010212931788815447,0.00019896402917004525,0.002315354442491786,6.0698620452738206e-05,0.04681384550239632,0.0005547534635372428,5.0,NASA,sigmoid,20000,0.0018344946701922844,0.48404041905345024,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,5,1.0,Dis_RW3.mat,2026-05-24T19:53:00,60
0.04883524009540255,0.013728093593118235,0.003597745016881498,0.057434646033443254,0.040136723034225816,0.00034349200312220457,0.011325395996645407,0.00010112061508161739,0.002677522986921698,5.7274759284728435e-05,0.05044618335697106,0.0005189686169682542,5.0,NASA,sigmoid,20000,0.02474066251429118,0.4534159112365665,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,1,1.0,Dis_RW4.mat,2026-05-24T19:53:00,60
0.028727039294103935,0.008270288494539917,0.001981288168406105,0.04023656751151662,0.040136723034225816,0.00034349200312220457,0.011325395996645407,0.00010112061508161739,0.002677522986921698,5.7274759284728435e-05,0.05044618335697106,0.0005189686169682542,5.0,NASA,sigmoid,20000,0.001923385265338734,0.4534159112365665,0.001,0.01,tanh,SAGD-BLS,100,100,70.0,30,2,1.0,Dis_RW4.mat,2026-05-24T19:53:00,60
